1;Pizza Margharita 32cm;13.00
2;Pizza Napoletana 32cm;14.00
3;Pizza ai Funghi 32cm;14.00
4;Pizza Prosciutto 32cm;15.00
5;Pizza Prosciutto e Funghi 32cm;16.00
6;Pizza Quattro Stagioni 32cm;16.00
7;Pizza Frutti di Marre 32cm;17.00
8;Pizza Capriciosa 32cm;15.50
9;Pizza Ema 32cm;16.00
10;Pizza Armando 32cm;18.00
11;Pizza Quattro Formaggi 32cm;15.00
12;Pizza Parma 32cm;17.00
13;Pizza Calabrese 32cm;15.00
14;Pizza Salami mild 32cm;15.00
15;Pizza Amoroso 32cm;17.00
16;Pizza Vesuvio 32cm;15.50
17;Pizza Padrone 32cm;15.50
18;Pizza Calzone Salavatore 32cm;16.00
19;Pizza Hawaii 32cm;16.00
20;Pizza Crevetten 32cm;17.00
21;Pizza Dea 32cm;17.00
22;Pizza Tonno 32cm;15.00
23;Pizza al Capone 32cm;18.00
24;Pizza Vegetaria 32cm;16.00
25;Pizza Porcini 32cm;18.00
26;Pizza Kreuzlingen 32cm;17.00
27;Pizza Fiorentina 32cm;15.00
28;Pizza alla Cipolla 32cm;13.50
29;Pizza Diavolo 32cm;16.00
30;Pizza Rustico 32cm;17.00
31;Pizza nach Wunsch 32cm;13.00
32;Pizza Menue 32cm;20.00




































































101;Pizza Margharita 26cm;10.00
102;Pizza Napoletana 26cm;11.00
103;Pizza ai Funghi 26cm;11.00
104;Pizza Prosciutto 26cm;12.00
105;Pizza Prosciutto e Funghi 26cm;13.00
106;Pizza Quattro Stagioni 26cm;13.00
107;Pizza Frutti di Marre 26cm;14.00
108;Pizza Capriciosa 26cm;12.50
109;Pizza Ema 26cm;13.00
110;Pizza Armando 26cm;15.00
111;Pizza Quattro Formaggi 26cm;12.00
112;Pizza Parma 26cm;14.00
113;Pizza Calabrese 26cm;12.00
114;Pizza Salami mild 26cm;12.00
115;Pizza Amoroso 26cm;14.00
116;Pizza Vesuvio 26cm;12.50
117;Pizza Padrone 26cm;12.50
118;Pizza Calzone Salavatore 26cm;13.00
119;Pizza Hawaii 26cm;13.00
120;Pizza Crevetten 26cm;14.00
121;Pizza Dea 26cm;14.00
122;Pizza Tonno 26cm;12.00
123;Pizza al Capone 26cm;15.00
124;Pizza Vegetaria 26cm;13.00
125;Pizza Porcini 26cm;15.00
126;Pizza Kreuzlingen 26cm;14.00
127;Pizza Fiorentina 26cm;12.00
128;Pizza alla Cipolla 26cm;10.50
129;Pizza Diavolo 26cm;13.00
130;Pizza Rustico 26cm;14.00
131;Pizza nach Wunsch 26cm;10.00





































































201;Familienpizza Margharita ;33.00
202;Familienpizza Napoletana ;34.00
203;Familienpizza ai Funghi ;34.00
204;Familienpizza Prosciutto ;35.00
205;Familienpizza Prosciutto e Funghi ;36.00
206;Familienpizza Quattro Stagioni ;36.00
207;Familienpizza Frutti di Marre ;39.00
208;Familienpizza Capriciosa ;35.50
209;Familienpizza Ema ;36.00
210;Familienpizza Armando ;39.00
211;Familienpizza Quattro Formaggi ;35.00
212;Familienpizza Parma ;39.00
213;Familienpizza Calabrese ;35.00
214;Familienpizza Salami mild ;35.00
215;Familienpizza Amoroso ;39.00
216;Familienpizza Vesuvio ;35.50
217;Familienpizza Padrone ;35.50
218;Familienpizza Calzone Salavatore ;36.00
219;Familienpizza Hawaii ;36.00
220;Familienpizza Crevetten ;39.00
221;Familienpizza Dea ;37.00
222;Familienpizza Tonno ;35.00
223;Familienpizza al Capone ;38.00
224;Familienpizza Vegetaria ;36.00
225;Familienpizza Porcini ;39.00
226;Familienpizza Kreuzlingen ;37.00
227;Familienpizza Fiorentina ;36.00
228;Familienpizza alla Cipolla ;33.50
229;Familienpizza Diavolo ;36.00
230;Familienpizza Rustico ;37.00
231;Familienpizza nach Wunsch ;33.00
232;Familienmenü; 50.00




























